Date,Prediction,Confidence,Words,Characters
2026-07-07 12:52:05,spam,93.98,29,172
2026-07-07 13:13:54,spam,93.98,29,172
2026-07-07 23:51:40,spam,73.0,52,401
2026-07-07 23:55:26,ham,69.0,50,342
2026-07-07 23:57:09,ham,84.63,60,372
2026-07-08 00:00:00,spam,95.66,56,388
2026-07-08 00:05:47,ham,75.62,65,394
2026-07-08 00:26:17,spam,55.93,50,359
2026-07-08 00:27:02,spam,55.93,50,363
2026-07-08 00:27:22,spam,55.93,50,363
2026-07-08 00:31:14,spam,66.77,49,325
2026-07-08 00:33:25,spam,68.67,55,364
2026-07-08 00:33:57,spam,68.67,55,360
2026-07-08 00:34:33,spam,68.67,55,359
2026-07-08 00:35:58,ham,63.72,77,472
2026-07-08 00:37:06,ham,69.08,74,459
2026-07-08 00:41:01,ham,74.6,48,278
2026-07-08 00:41:43,ham,82.91,60,368
2026-07-08 00:42:34,ham,80.54,42,293
2026-07-08 00:43:57,ham,80.93,49,341
2026-07-08 00:46:03,ham,78.79,103,617
2026-07-08 00:48:00,spam,74.2,42,317
2026-07-08 00:49:17,spam,77.67,53,377
